#StartDevice,StartPort,EndDevice,EndPort,LinkType
DSM091050609003,DSM091050609003 ibp203s0f0,DSM09-0101-0501-20IB0,Port 1, Data
DSM091050609019,DSM091050609019 ibp203s0f0,DSM09-0101-0501-20IB0,Port 2, Data
DSM091050609037,DSM091050609037 ibp203s0f0,DSM09-0101-0501-20IB0,Port 4, Data
DSM091050610003,DSM091050610003 ibp203s0f0,DSM09-0101-0501-20IB0,Port 5, Data
DSM091050610019,DSM091050610019 ibp203s0f0,DSM09-0101-0501-20IB0,Port 6, Data
DSM091050610053,DSM091050610053 ibp203s0f0,DSM09-0101-0501-20IB0,Port 7, Data
DSM091050611003,DSM091050611003 ibp203s0f0,DSM09-0101-0501-20IB0,Port 9, Data
DSM091050611019,DSM091050611019 ibp203s0f0,DSM09-0101-0501-20IB0,Port 10, Data
DSM091050611053,DSM091050611053 ibp203s0f0,DSM09-0101-0501-20IB0,Port 11, Data
DSM091050611037,DSM091050611037 ibp203s0f0,DSM09-0101-0501-20IB0,Port 12, Data
DSM091050612019,DSM091050612019 ibp203s0f0,DSM09-0101-0501-20IB0,Port 14, Data
DSM091050612037,DSM091050612037 ibp203s0f0,DSM09-0101-0501-20IB0,Port 16, Data
DSM091050706003,DSM091050706003 ibp203s0f0,DSM09-0101-0507-17IB0,Port 1, Data
DSM091050706019,DSM091050706019 ibp203s0f0,DSM09-0101-0507-17IB0,Port 2, Data
DSM091050706053,DSM091050706053 ibp203s0f0,DSM09-0101-0507-17IB0,Port 3, Data
DSM091050706037,DSM091050706037 ibp203s0f0,DSM09-0101-0507-17IB0,Port 4, Data
DSM091050707019,DSM091050707019 ibp203s0f0,DSM09-0101-0507-17IB0,Port 6, Data
DSM091050707053,DSM091050707053 ibp203s0f0,DSM09-0101-0507-17IB0,Port 7, Data
DSM091050707037,DSM091050707037 ibp203s0f0,DSM09-0101-0507-17IB0,Port 8, Data
DSM091050708003,DSM091050708003 ibp203s0f0,DSM09-0101-0507-17IB0,Port 9, Data
DSM091050708019,DSM091050708019 ibp203s0f0,DSM09-0101-0507-17IB0,Port 10, Data
DSM091050708053,DSM091050708053 ibp203s0f0,DSM09-0101-0507-17IB0,Port 11, Data
DSM091050708037,DSM091050708037 ibp203s0f0,DSM09-0101-0507-17IB0,Port 12, Data
DSM091050709003,DSM091050709003 ibp203s0f0,DSM09-0101-0507-17IB0,Port 13, Data
DSM091050709019,DSM091050709019 ibp203s0f0,DSM09-0101-0507-17IB0,Port 14, Data
DSM091050709053,DSM091050709053 ibp203s0f0,DSM09-0101-0507-17IB0,Port 15, Data
DSM091050710003,DSM091050710003 ibp203s0f0,DSM09-0101-0507-17IB0,Port 17, Data
DSM091050710053,DSM091050710053 ibp203s0f0,DSM09-0101-0507-17IB0,Port 19, Data
DSM091050710037,DSM091050710037 ibp203s0f0,DSM09-0101-0507-17IB0,Port 20, Data
DSM091050101003,DSM091050101003 ibp203s0f0,DSM09-0101-0501-16IB0,Port 1, Data
DSM091050101019,DSM091050101019 ibp203s0f0,DSM09-0101-0501-16IB0,Port 2, Data
DSM091050101053,DSM091050101053 ibp203s0f0,DSM09-0101-0501-16IB0,Port 3, Data
DSM091050101037,DSM091050101037 ibp203s0f0,DSM09-0101-0501-16IB0,Port 4, Data
DSM091050102019,DSM091050102019 ibp203s0f0,DSM09-0101-0501-16IB0,Port 6, Data
DSM091050102053,DSM091050102053 ibp203s0f0,DSM09-0101-0501-16IB0,Port 7, Data
DSM091050102037,DSM091050102037 ibp203s0f0,DSM09-0101-0501-16IB0,Port 8, Data
DSM091050103003,DSM091050103003 ibp203s0f0,DSM09-0101-0501-16IB0,Port 9, Data
DSM091050103019,DSM091050103019 ibp203s0f0,DSM09-0101-0501-16IB0,Port 10, Data
DSM091050103053,DSM091050103053 ibp203s0f0,DSM09-0101-0501-16IB0,Port 11, Data
DSM091050104003,DSM091050104003 ibp203s0f0,DSM09-0101-0501-16IB0,Port 13, Data
DSM091050104019,DSM091050104019 ibp203s0f0,DSM09-0101-0501-16IB0,Port 14, Data
DSM091050104053,DSM091050104053 ibp203s0f0,DSM09-0101-0501-16IB0,Port 15, Data
DSM091050104037,DSM091050104037 ibp203s0f0,DSM09-0101-0501-16IB0,Port 16, Data
DSM091050105003,DSM091050105003 ibp203s0f0,DSM09-0101-0501-16IB0,Port 17, Data
DSM091050105053,DSM091050105053 ibp203s0f0,DSM09-0101-0501-16IB0,Port 19, Data
DSM091050105037,DSM091050105037 ibp203s0f0,DSM09-0101-0501-16IB0,Port 20, Data
DSM091050106003,DSM091050106003 ibp203s0f0,DSM09-0101-0501-17IB0,Port 1, Data
DSM091050106019,DSM091050106019 ibp203s0f0,DSM09-0101-0501-17IB0,Port 2, Data
DSM091050106053,DSM091050106053 ibp203s0f0,DSM09-0101-0501-17IB0,Port 3, Data
DSM091050106037,DSM091050106037 ibp203s0f0,DSM09-0101-0501-17IB0,Port 4, Data
DSM091050107003,DSM091050107003 ibp203s0f0,DSM09-0101-0501-17IB0,Port 5, Data
DSM091050107019,DSM091050107019 ibp203s0f0,DSM09-0101-0501-17IB0,Port 6, Data
DSM091050108019,DSM091050108019 ibp203s0f0,DSM09-0101-0501-17IB0,Port 10, Data
DSM091050108053,DSM091050108053 ibp203s0f0,DSM09-0101-0501-17IB0,Port 11, Data
