ASIC,Protocol,Speed,FEC TYPE,FEC OPCODE vs MAD  ,FEC OPCODE,Media Type,Pre-FEC BER Error,Pre-FEC BER Warning,Pre-FEC BER Normal,Post-FEC BER Error,Post-FEC BER Warning,Post-FEC BER Normal,Symbol BER Error,Symbol BER Warning,Symbol BER Normal,Version
7nm,IB,NDR,Ethernet_Consortium_LL_50G_RS_FEC_PLR (14),14,14,DACs,1.00E-06,5.00E-07,1.00E-07,1.00E-11,5.00E-12,1.00E-12,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,NDR,Ethernet_Consortium_LL_50G_RS_FEC_PLR (14),14,14,ACC,1.00E-06,5.00E-07,1.00E-07,1.00E-11,5.00E-12,1.00E-12,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,NDR,Ethernet_Consortium_LL_50G_RS_FEC_PLR (14),14,14,Active,1.00E-05,5.00E-06,1.00E-06,1.00E-11,5.00E-12,1.00E-12,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,NDR,Ethernet_Consortium_LL_50G_RS_FEC_PLR (14),14,14,Active_DiD,1.00E-05,5.00E-06,1.00E-06,1.00E-11,5.00E-12,1.00E-12,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,NDR,KP4_Standard_RS_FEC_PLR (12),13,12,DACs,1.00E-06,5.00E-07,1.00E-07,1.00E-11,5.00E-12,1.00E-12,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,NDR,KP4_Standard_RS_FEC_PLR (12),13,12,ACC,1.00E-06,5.00E-07,1.00E-07,1.00E-11,5.00E-12,1.00E-12,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,NDR,KP4_Standard_RS_FEC_PLR (12),13,12,Active,1.00E-05,5.00E-06,1.00E-06,1.00E-11,5.00E-12,1.00E-12,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,NDR,KP4_Standard_RS_FEC_PLR (12),13,12,Active_DiD,1.00E-05,5.00E-06,1.00E-06,1.00E-11,5.00E-12,1.00E-12,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,NDR,KP4_Standard_RS_FEC (7),4,7,DACs,1.00E-07,5.00E-08,1.00E-08,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,NDR,KP4_Standard_RS_FEC (7),4,7,ACC,1.00E-07,5.00E-08,1.00E-08,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,NDR,KP4_Standard_RS_FEC (7),4,7,Active,1.00E-05,5.00E-06,1.00E-06,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,NDR,KP4_Standard_RS_FEC (7),4,7,Active_DiD,1.00E-05,5.00E-06,1.00E-06,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,HDR,KP4_Standard_RS_FEC_PLR (12),13,12,DACs,1.00E-07,5.00E-08,1.00E-08,1.00E-13,5.00E-14,1.00E-14,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,HDR,KP4_Standard_RS_FEC_PLR (12),13,12,ACC,1.00E-07,5.00E-08,1.00E-08,1.00E-13,5.00E-14,1.00E-14,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,HDR,KP4_Standard_RS_FEC_PLR (12),13,12,Active,1.00E-07,5.00E-08,1.00E-08,1.00E-13,5.00E-14,1.00E-14,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,HDR,KP4_Standard_RS_FEC_PLR (12),13,12,Active_DiD,1.00E-07,5.00E-08,1.00E-08,1.00E-13,5.00E-14,1.00E-14,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,HDR,KP4_Standard_RS_FEC (7),4,7,DACs,1.00E-07,5.00E-08,1.00E-08,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,HDR,KP4_Standard_RS_FEC (7),4,7,ACC,1.00E-07,5.00E-08,1.00E-08,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,HDR,KP4_Standard_RS_FEC (7),4,7,Active,1.00E-07,5.00E-08,1.00E-08,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,HDR,KP4_Standard_RS_FEC (7),4,7,Active_DiD,1.00E-07,5.00E-08,1.00E-08,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,HDR,LL_FEC_PLR (13),14,13,DACs,1.00E-07,5.00E-08,1.00E-08,1.00E-13,5.00E-14,1.00E-14,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,HDR,LL_FEC_PLR (13),14,13,ACC,1.00E-07,5.00E-08,1.00E-08,1.00E-13,5.00E-14,1.00E-14,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,HDR,LL_FEC_PLR (13),14,13,Active,1.00E-07,5.00E-08,1.00E-08,1.00E-13,5.00E-14,1.00E-14,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,HDR,LL_FEC_PLR (13),14,13,Active_DiD,1.00E-07,5.00E-08,1.00E-08,1.00E-13,5.00E-14,1.00E-14,1.00E-14,5.00E-15,1.00E-15,V06
7nm,IB,EDR,STD_LL_RS (3),3,3,DACs,1.00E-12,5.00E-13,1.00E-13,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,EDR,STD_LL_RS (3),3,3,ACC,1.00E-12,5.00E-13,1.00E-13,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,EDR,STD_LL_RS (3),3,3,Active,1.00E-12,5.00E-13,1.00E-13,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,EDR,STD_LL_RS (3),3,3,Active_DiD,1.00E-12,5.00E-13,1.00E-13,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,EDR,STD_RS (2),2,2,DACs,1.00E-12,5.00E-13,1.00E-13,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,EDR,STD_RS (2),2,2,ACC,1.00E-12,5.00E-13,1.00E-13,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,EDR,STD_RS (2),2,2,Active,1.00E-12,5.00E-13,1.00E-13,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,EDR,STD_RS (2),2,2,Active_DiD,1.00E-12,5.00E-13,1.00E-13,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
7nm,IB,EDR,NO_FEC (0),0,0,DACs,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,1.00E-13,5.00E-14,1.00E-14,V06
