OID,Name,Description,Status,Severity
MELLANOX-EFM-MIB::testTrap,send-test,A test trap ordered by the system administrator,Enabled,Warning
MELLANOX-EFM-MIB::asicChipDown,asic-chip-down,ASIC (Chip) Down,Enabled,Critical
MELLANOX-EFM-MIB::cpuUtilHigh,cpu-util-high,CPU utilization has risen too high,Enabled,Warning
MELLANOX-EFM-MIB::diskSpaceLow,disk-space-low,Filesystem free space has fallen too low,Enabled,Warning
MELLANOX-EFM-MIB::expectedShutdown,expected-shutdown,Expected system shutdown,Enabled,Info
MELLANOX-EFM-MIB::systemHealthStatus,health-module-status,Health module Status,Enabled,Critical
MELLANOX-EFM-MIB::insufficientFans,insufficient-fans,Insufficient amount of fans in system,Enabled,Warning
MELLANOX-EFM-MIB::insufficientFansRecover,insufficient-fans-recover,Insufficient amount of fans in system recovered,Enabled,Info
MELLANOX-EFM-MIB::insufficientPower,insufficient-power,Insufficient power supply,Enabled,Warning
RFC1213::linkdown,interface-down,An interface's link state has changed to down,Enabled,Minor
RFC1213::linkup,interface-up,An interface's link state has changed to up,Enabled,Info
MELLANOX-EFM-MIB::unexpectedShutdown,unexpected-shutdown,Unexpected system shutdown,Enabled,Minor
SNMPv2-MIB::coldStart,cold-start,SNMP entity reinitialized,Enabled,Info
IF-MIB::linkDown,link-down,An interface's link state has changed to down,Enabled,Minor
IF-MIB::linkUp,link-up,An interface's link state has changed to up,Enabled,Info
MELLANOX-SMI-MIB::mellanoxPowerCycle.1.1.3.1,power-cycle,Switch reboot,Enabled,Info
